"group","code","major","minor","broad","detailed","title","essential","notes"
"Broad","19-4030","19-0000","19-4000","19-4030",NA,"Chemical Technicians",1,NA
"Detailed","19-4031","19-0000","19-4000","19-4030","19-4031","Chemical Technicians",1,NA
"Broad","19-4040","19-0000","19-4000","19-4040",NA,"Environmental Science and Geoscience Technicians",1,NA
"Detailed","19-4042","19-0000","19-4000","19-4040","19-4042","Environmental Science and Protection Technicians, Including Health",1,NA
"Detailed","19-4043","19-0000","19-4000","19-4040","19-4043","Geological Technicians, Except Hydrologic Technicians",1,NA
"Detailed","19-4044","19-0000","19-4000","19-4040","19-4044","Hydrologic Technicians",1,NA
"Broad","19-4050","19-0000","19-4000","19-4050",NA,"Nuclear Technicians",0,NA
"Detailed","19-4051","19-0000","19-4000","19-4050","19-4051","Nuclear Technicians",0,NA
"Broad","19-4060","19-0000","19-4000","19-4060",NA,"Social Science Research Assistants",0,NA
"Detailed","19-4061","19-0000","19-4000","19-4060","19-4061","Social Science Research Assistants",0,NA
"Broad","19-4070","19-0000","19-4000","19-4070",NA,"Forest and Conservation Technicians",0,NA
"Detailed","19-4071","19-0000","19-4000","19-4070","19-4071","Forest and Conservation Technicians",0,NA
"Broad","19-4090","19-0000","19-4000","19-4090",NA,"Miscellaneous Life, Physical, and Social Science Technicians",1,NA
"Detailed","19-4092","19-0000","19-4000","19-4090","19-4092","Forensic Science Technicians",1,NA
"Detailed","19-4099","19-0000","19-4000","19-4090","19-4099","Life, Physical, and Social Science Technicians, All Other",1,NA
"Broad","19-4090","19-0000","19-5000","19-4090",NA,"Occupational Health and Safety Specialists and Technicians",1,NA
"Broad","19-5010","19-0000","19-5000","19-5010",NA,"Occupational Health and Safety Specialists and Technicians",1,NA
"Detailed","19-5011","19-0000","19-5000","19-5010","19-5011","Occupational Health and Safety Specialists",1,NA
"Detailed","19-5012","19-0000","19-5000","19-5010","19-5012","Occupational Health and Safety Technicians",1,NA
"Broad","19-5010","21-0000","19-5000","19-5010",NA,"Community and Social Service Occupations",1,NA
"Broad","19-5010","21-0000","21-1000","19-5010",NA,"Counselors, Social Workers, and Other Community and Social Service Specialists",1,NA
"Broad","21-1010","21-0000","21-1000","21-1010",NA,"Counselors",1,NA
"Detailed","21-1011","21-0000","21-1000","21-1010","21-1011","Substance Abuse and Behavioral Disorder Counselors",1,NA
"Detailed","21-1012","21-0000","21-1000","21-1010","21-1012","Educational, Guidance, and Career Counselors and Advisors",1,NA
"Detailed","21-1013","21-0000","21-1000","21-1010","21-1013","Marriage and Family Therapists",1,NA
"Detailed","21-1014","21-0000","21-1000","21-1010","21-1014","Mental Health Counselors",1,NA
"Detailed","21-1015","21-0000","21-1000","21-1010","21-1015","Rehabilitation Counselors",1,NA
"Detailed","21-1019","21-0000","21-1000","21-1010","21-1019","Counselors, All Other",1,NA
"Broad","21-1020","21-0000","21-1000","21-1020",NA,"Social Workers",1,NA
"Detailed","21-1021","21-0000","21-1000","21-1020","21-1021","Child, Family, and School Social Workers",1,NA
"Detailed","21-1022","21-0000","21-1000","21-1020","21-1022","Healthcare Social Workers",1,NA
"Detailed","21-1023","21-0000","21-1000","21-1020","21-1023","Mental Health and Substance Abuse Social Workers",1,NA
"Detailed","21-1029","21-0000","21-1000","21-1020","21-1029","Social Workers, All Other",1,NA
"Broad","21-1090","21-0000","21-1000","21-1090",NA,"Miscellaneous Community and Social Service Specialists",1,NA
"Detailed","21-1091","21-0000","21-1000","21-1090","21-1091","Health Education Specialists",1,NA
"Detailed","21-1092","21-0000","21-1000","21-1090","21-1092","Probation Officers and Correctional Treatment Specialists",1,NA
"Detailed","21-1093","21-0000","21-1000","21-1090","21-1093","Social and Human Service Assistants",1,NA
"Detailed","21-1094","21-0000","21-1000","21-1090","21-1094","Community Health Workers",1,NA
"Detailed","21-1099","21-0000","21-1000","21-1090","21-1099","Community and Social Service Specialists, All Other",1,NA
"Broad","21-1090","21-0000","21-2000","21-1090",NA,"Religious Workers",1,NA
"Broad","21-2010","21-0000","21-2000","21-2010",NA,"Clergy",0,NA
"Detailed","21-2011","21-0000","21-2000","21-2010","21-2011","Clergy",0,NA
"Broad","21-2020","21-0000","21-2000","21-2020",NA,"Directors, Religious Activities and Education",0,NA
"Detailed","21-2021","21-0000","21-2000","21-2020","21-2021","Directors, Religious Activities and Education",0,NA
"Broad","21-2090","21-0000","21-2000","21-2090",NA,"Miscellaneous Religious Workers",0,NA
"Detailed","21-2099","21-0000","21-2000","21-2090","21-2099","Religious Workers, All Other",0,NA
"Broad","21-2090","23-0000","21-2000","21-2090",NA,"Legal Occupations",0,NA
"Broad","21-2090","23-0000","23-1000","21-2090",NA,"Lawyers, Judges, and Related Workers",0,NA
"Broad","23-1010","23-0000","23-1000","23-1010",NA,"Lawyers and Judicial Law Clerks",1,NA
"Detailed","23-1011","23-0000","23-1000","23-1010","23-1011","Lawyers",1,NA
"Detailed","23-1012","23-0000","23-1000","23-1010","23-1012","Judicial Law Clerks",1,NA
"Broad","23-1020","23-0000","23-1000","23-1020",NA,"Judges, Magistrates, and Other Judicial Workers",1,NA
"Detailed","23-1021","23-0000","23-1000","23-1020","23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers",1,NA
"Detailed","23-1022","23-0000","23-1000","23-1020","23-1022","Arbitrators, Mediators, and Conciliators",1,NA
"Detailed","23-1023","23-0000","23-1000","23-1020","23-1023","Judges, Magistrate Judges, and Magistrates",1,NA
"Broad","23-1020","23-0000","23-2000","23-1020",NA,"Legal Support Workers",1,NA
"Broad","23-2010","23-0000","23-2000","23-2010",NA,"Paralegals and Legal Assistants",1,NA
"Detailed","23-2011","23-0000","23-2000","23-2010","23-2011","Paralegals and Legal Assistants",1,NA
"Broad","23-2090","23-0000","23-2000","23-2090",NA,"Miscellaneous Legal Support Workers",1,NA
"Detailed","23-2093","23-0000","23-2000","23-2090","23-2093","Title Examiners, Abstractors, and Searchers",1,NA
"Detailed","23-2099","23-0000","23-2000","23-2090","23-2099","Legal Support Workers, All Other",1,NA
"Broad","23-2090","25-0000","23-2000","23-2090",NA,"Educational Instruction and Library Occupations",1,NA
"Broad","23-2090","25-0000","25-1000","23-2090",NA,"Postsecondary Teachers",1,NA
"Broad","25-1010","25-0000","25-1000","25-1010",NA,"Business Teachers, Postsecondary",1,NA
"Detailed","25-1011","25-0000","25-1000","25-1010","25-1011","Business Teachers, Postsecondary",1,NA
"Broad","25-1020","25-0000","25-1000","25-1020",NA,"Math and Computer Science Teachers, Postsecondary",1,NA
"Detailed","25-1021","25-0000","25-1000","25-1020","25-1021","Computer Science Teachers, Postsecondary",1,NA
"Detailed","25-1022","25-0000","25-1000","25-1020","25-1022","Mathematical Science Teachers, Postsecondary",1,NA
"Broad","25-1030","25-0000","25-1000","25-1030",NA,"Engineering and Architecture Teachers, Postsecondary",1,NA
"Detailed","25-1031","25-0000","25-1000","25-1030","25-1031","Architecture Teachers, Postsecondary",1,NA
"Detailed","25-1032","25-0000","25-1000","25-1030","25-1032","Engineering Teachers, Postsecondary",1,NA
"Broad","25-1040","25-0000","25-1000","25-1040",NA,"Life Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1041","25-0000","25-1000","25-1040","25-1041","Agricultural Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1042","25-0000","25-1000","25-1040","25-1042","Biological Science Teachers, Postsecondary",1,NA
"Detailed","25-1043","25-0000","25-1000","25-1040","25-1043","Forestry and Conservation Science Teachers, Postsecondary",1,NA
"Broad","25-1050","25-0000","25-1000","25-1050",NA,"Physical Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1051","25-0000","25-1000","25-1050","25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1052","25-0000","25-1000","25-1050","25-1052","Chemistry Teachers, Postsecondary",1,NA
"Detailed","25-1053","25-0000","25-1000","25-1050","25-1053","Environmental Science Teachers, Postsecondary",1,NA
"Detailed","25-1054","25-0000","25-1000","25-1050","25-1054","Physics Teachers, Postsecondary",1,NA
"Broad","25-1060","25-0000","25-1000","25-1060",NA,"Social Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1061","25-0000","25-1000","25-1060","25-1061","Anthropology and Archeology Teachers, Postsecondary",1,NA
"Detailed","25-1062","25-0000","25-1000","25-1060","25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1,NA
"Detailed","25-1063","25-0000","25-1000","25-1060","25-1063","Economics Teachers, Postsecondary",1,NA
"Detailed","25-1064","25-0000","25-1000","25-1060","25-1064","Geography Teachers, Postsecondary",1,NA
"Detailed","25-1065","25-0000","25-1000","25-1060","25-1065","Political Science Teachers, Postsecondary",1,NA
"Detailed","25-1066","25-0000","25-1000","25-1060","25-1066","Psychology Teachers, Postsecondary",1,NA
"Detailed","25-1067","25-0000","25-1000","25-1060","25-1067","Sociology Teachers, Postsecondary",1,NA
"Detailed","25-1069","25-0000","25-1000","25-1060","25-1069","Social Sciences Teachers, Postsecondary, All Other",1,NA
"Broad","25-1070","25-0000","25-1000","25-1070",NA,"Health Teachers, Postsecondary",1,NA
"Detailed","25-1071","25-0000","25-1000","25-1070","25-1071","Health Specialties Teachers, Postsecondary",1,NA
"Detailed","25-1072","25-0000","25-1000","25-1070","25-1072","Nursing Instructors and Teachers, Postsecondary",1,NA
"Broad","25-1080","25-0000","25-1000","25-1080",NA,"Education and Library Science Teachers, Postsecondary",1,NA
"Detailed","25-1081","25-0000","25-1000","25-1080","25-1081","Education Teachers, Postsecondary",1,NA
"Detailed","25-1082","25-0000","25-1000","25-1080","25-1082","Library Science Teachers, Postsecondary",1,NA
"Broad","25-1110","25-0000","25-1000","25-1110",NA,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",1,NA
"Detailed","25-1111","25-0000","25-1000","25-1110","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary",1,NA
"Detailed","25-1112","25-0000","25-1000","25-1110","25-1112","Law Teachers, Postsecondary",1,NA
"Detailed","25-1113","25-0000","25-1000","25-1110","25-1113","Social Work Teachers, Postsecondary",1,NA
"Broad","25-1120","25-0000","25-1000","25-1120",NA,"Arts, Communications, History, and Humanities Teachers, Postsecondary",1,NA
"Detailed","25-1121","25-0000","25-1000","25-1120","25-1121","Art, Drama, and Music Teachers, Postsecondary",1,NA
"Detailed","25-1122","25-0000","25-1000","25-1120","25-1122","Communications Teachers, Postsecondary",1,NA
"Detailed","25-1123","25-0000","25-1000","25-1120","25-1123","English Language and Literature Teachers, Postsecondary",1,NA
"Detailed","25-1124","25-0000","25-1000","25-1120","25-1124","Foreign Language and Literature Teachers, Postsecondary",1,NA
"Detailed","25-1125","25-0000","25-1000","25-1120","25-1125","History Teachers, Postsecondary",1,NA
"Detailed","25-1126","25-0000","25-1000","25-1120","25-1126","Philosophy and Religion Teachers, Postsecondary",1,NA
"Broad","25-1190","25-0000","25-1000","25-1190",NA,"Miscellaneous Postsecondary Teachers",1,NA
"Detailed","25-1192","25-0000","25-1000","25-1190","25-1192","Family and Consumer Sciences Teachers, Postsecondary",1,NA
"Detailed","25-1193","25-0000","25-1000","25-1190","25-1193","Recreation and Fitness Studies Teachers, Postsecondary",1,NA
"Detailed","25-1194","25-0000","25-1000","25-1190","25-1194","Career/Technical Education Teachers, Postsecondary",1,NA
"Detailed","25-1199","25-0000","25-1000","25-1190","25-1199","Postsecondary Teachers, All Other",1,NA
"Broad","25-1190","25-0000","25-2000","25-1190",NA,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",1,NA
"Broad","25-2010","25-0000","25-2000","25-2010",NA,"Preschool and Kindergarten Teachers",1,NA
"Detailed","25-2011","25-0000","25-2000","25-2010","25-2011","Preschool Teachers, Except Special Education",1,NA
"Detailed","25-2012","25-0000","25-2000","25-2010","25-2012","Kindergarten Teachers, Except Special Education",1,NA
"Broad","25-2020","25-0000","25-2000","25-2020",NA,"Elementary and Middle School Teachers",1,NA
"Detailed","25-2021","25-0000","25-2000","25-2020","25-2021","Elementary School Teachers, Except Special Education",1,NA
"Detailed","25-2022","25-0000","25-2000","25-2020","25-2022","Middle School Teachers, Except Special and Career/Technical Education",1,NA
"Detailed","25-2023","25-0000","25-2000","25-2020","25-2023","Career/Technical Education Teachers, Middle School",1,NA
"Broad","25-2030","25-0000","25-2000","25-2030",NA,"Secondary School Teachers",1,NA
"Detailed","25-2031","25-0000","25-2000","25-2030","25-2031","Secondary School Teachers, Except Special and Career/Technical Education",1,NA
"Detailed","25-2032","25-0000","25-2000","25-2030","25-2032","Career/Technical Education Teachers, Secondary School",1,NA
"Broad","25-2050","25-0000","25-2000","25-2050",NA,"Special Education Teachers",1,NA
"Detailed","25-2051","25-0000","25-2000","25-2050","25-2051","Special Education Teachers, Preschool",1,NA
"Detailed","25-2055","25-0000","25-2000","25-2050","25-2055","Special Education Teachers, Kindergarten",1,NA
"Detailed","25-2056","25-0000","25-2000","25-2050","25-2056","Special Education Teachers, Elementary School",1,NA
"Detailed","25-2057","25-0000","25-2000","25-2050","25-2057","Special Education Teachers, Middle School",1,NA
"Detailed","25-2058","25-0000","25-2000","25-2050","25-2058","Special Education Teachers, Secondary School",1,NA
"Detailed","25-2059","25-0000","25-2000","25-2050","25-2059","Special Education Teachers, All Other",1,NA
"Broad","25-2050","25-0000","25-3000","25-2050",NA,"Other Teachers and Instructors",1,NA
"Broad","25-3010","25-0000","25-3000","25-3010",NA,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0,NA
"Detailed","25-3011","25-0000","25-3000","25-3010","25-3011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0,NA
"Broad","25-3020","25-0000","25-3000","25-3020",NA,"Self-Enrichment Teachers",0,NA
"Detailed","25-3021","25-0000","25-3000","25-3020","25-3021","Self-Enrichment Teachers",0,NA
"Broad","25-3030","25-0000","25-3000","25-3030",NA,"Substitute Teachers, Short-Term",1,NA
"Detailed","25-3031","25-0000","25-3000","25-3030","25-3031","Substitute Teachers, Short-Term",1,NA
"Broad","25-3040","25-0000","25-3000","25-3040",NA,"Tutors",0,NA
"Detailed","25-3041","25-0000","25-3000","25-3040","25-3041","Tutors",0,NA
"Broad","25-3090","25-0000","25-3000","25-3090",NA,"Miscellaneous Teachers and Instructors",1,NA
"Detailed","25-3099","25-0000","25-3000","25-3090","25-3099","Teachers and Instructors, All Other",1,NA
"Broad","25-3090","25-0000","25-4000","25-3090",NA,"Librarians, Curators, and Archivists",1,NA
"Broad","25-4010","25-0000","25-4000","25-4010",NA,"Archivists, Curators, and Museum Technicians",0,NA
"Detailed","25-4011","25-0000","25-4000","25-4010","25-4011","Archivists",0,NA
"Detailed","25-4012","25-0000","25-4000","25-4010","25-4012","Curators",0,NA
"Detailed","25-4013","25-0000","25-4000","25-4010","25-4013","Museum Technicians and Conservators",0,NA
"Broad","25-4020","25-0000","25-4000","25-4020",NA,"Librarians and Media Collections Specialists",1,NA
"Detailed","25-4022","25-0000","25-4000","25-4020","25-4022","Librarians and Media Collections Specialists",1,NA
"Broad","25-4030","25-0000","25-4000","25-4030",NA,"Library Technicians",1,NA
"Detailed","25-4031","25-0000","25-4000","25-4030","25-4031","Library Technicians",1,NA
"Broad","25-4030","25-0000","25-9000","25-4030",NA,"Other Educational Instruction and Library Occupations",1,NA
"Broad","25-9020","25-0000","25-9000","25-9020",NA,"Farm and Home Management Educators",0,NA
"Detailed","25-9021","25-0000","25-9000","25-9020","25-9021","Farm and Home Management Educators",0,NA
"Broad","25-9030","25-0000","25-9000","25-9030",NA,"Instructional Coordinators",1,NA
"Detailed","25-9031","25-0000","25-9000","25-9030","25-9031","Instructional Coordinators",1,NA
"Broad","25-9040","25-0000","25-9000","25-9040",NA,"Teaching Assistants",1,NA
"Detailed","25-9042","25-0000","25-9000","25-9040","25-9042","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",1,NA
"Detailed","25-9043","25-0000","25-9000","25-9040","25-9043","Teaching Assistants, Special Education",1,NA
"Detailed","25-9044","25-0000","25-9000","25-9040","25-9044","Teaching Assistants, Postsecondary",1,NA
"Detailed","25-9049","25-0000","25-9000","25-9040","25-9049","Teaching Assistants, All Other",1,NA
"Broad","25-9090","25-0000","25-9000","25-9090",NA,"Miscellaneous Educational Instruction and Library Workers",1,NA
"Detailed","25-9099","25-0000","25-9000","25-9090","25-9099","Educational Instruction and Library Workers, All Other",1,NA
"Broad","25-9090","27-0000","25-9000","25-9090",NA,"Arts, Design, Entertainment, Sports, and Media Occupations",1,NA
"Broad","25-9090","27-0000","27-1000","25-9090",NA,"Art and Design Workers",1,NA
"Broad","27-1010","27-0000","27-1000","27-1010",NA,"Artists and Related Workers",0,NA
"Detailed","27-1011","27-0000","27-1000","27-1010","27-1011","Art Directors",0,NA
"Detailed","27-1012","27-0000","27-1000","27-1010","27-1012","Craft Artists",0,NA
"Detailed","27-1013","27-0000","27-1000","27-1010","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",0,NA
"Detailed","27-1014","27-0000","27-1000","27-1010","27-1014","Special Effects Artists and Animators",0,NA
"Detailed","27-1019","27-0000","27-1000","27-1010","27-1019","Artists and Related Workers, All Other",0,NA
"Broad","27-1020","27-0000","27-1000","27-1020",NA,"Designers",0,NA
"Detailed","27-1021","27-0000","27-1000","27-1020","27-1021","Commercial and Industrial Designers",0,NA
"Detailed","27-1022","27-0000","27-1000","27-1020","27-1022","Fashion Designers",0,NA
"Detailed","27-1023","27-0000","27-1000","27-1020","27-1023","Floral Designers",0,NA
"Detailed","27-1024","27-0000","27-1000","27-1020","27-1024","Graphic Designers",0,NA
"Detailed","27-1025","27-0000","27-1000","27-1020","27-1025","Interior Designers",0,NA
"Detailed","27-1026","27-0000","27-1000","27-1020","27-1026","Merchandise Displayers and Window Trimmers",0,NA
"Detailed","27-1027","27-0000","27-1000","27-1020","27-1027","Set and Exhibit Designers",0,NA
"Detailed","27-1029","27-0000","27-1000","27-1020","27-1029","Designers, All Other",0,NA
"Broad","27-1020","27-0000","27-2000","27-1020",NA,"Entertainers and Performers, Sports and Related Workers",0,NA
"Broad","27-2010","27-0000","27-2000","27-2010",NA,"Actors, Producers, and Directors",1,NA
"Detailed","27-2011","27-0000","27-2000","27-2010","27-2011","Actors",1,NA
"Detailed","27-2012","27-0000","27-2000","27-2010","27-2012","Producers and Directors",1,NA
"Broad","27-2020","27-0000","27-2000","27-2020",NA,"Athletes, Coaches, Umpires, and Related Workers",0,NA
"Detailed","27-2021","27-0000","27-2000","27-2020","27-2021","Athletes and Sports Competitors",0,NA
"Detailed","27-2022","27-0000","27-2000","27-2020","27-2022","Coaches and Scouts",0,NA
"Detailed","27-2023","27-0000","27-2000","27-2020","27-2023","Umpires, Referees, and Other Sports Officials",0,NA
"Broad","27-2030","27-0000","27-2000","27-2030",NA,"Dancers and Choreographers",0,NA
"Detailed","27-2031","27-0000","27-2000","27-2030","27-2031","Dancers",0,NA
"Detailed","27-2032","27-0000","27-2000","27-2030","27-2032","Choreographers",0,NA
"Broad","27-2040","27-0000","27-2000","27-2040",NA,"Musicians, Singers, and Related Workers",0,NA
"Detailed","27-2041","27-0000","27-2000","27-2040","27-2041","Music Directors and Composers",0,NA
"Detailed","27-2042","27-0000","27-2000","27-2040","27-2042","Musicians and Singers",0,NA
"Broad","27-2090","27-0000","27-2000","27-2090",NA,"Miscellaneous Entertainers and Performers, Sports and Related Workers",0,NA
"Detailed","27-2091","27-0000","27-2000","27-2090","27-2091","Disc Jockeys, Except Radio",0,NA
"Detailed","27-2099","27-0000","27-2000","27-2090","27-2099","Entertainers and Performers, Sports and Related Workers, All Other",0,NA
"Broad","27-2090","27-0000","27-3000","27-2090",NA,"Media and Communication Workers",0,NA
"Broad","27-3010","27-0000","27-3000","27-3010",NA,"Broadcast Announcers and Radio Disc Jockeys",1,NA
"Detailed","27-3011","27-0000","27-3000","27-3010","27-3011","Broadcast Announcers and Radio Disc Jockeys",1,NA
"Broad","27-3020","27-0000","27-3000","27-3020",NA,"News Analysts, Reporters and Journalists",1,NA
"Detailed","27-3023","27-0000","27-3000","27-3020","27-3023","News Analysts, Reporters, and Journalists",1,NA
"Broad","27-3030","27-0000","27-3000","27-3030",NA,"Public Relations Specialists",0,NA
"Detailed","27-3031","27-0000","27-3000","27-3030","27-3031","Public Relations Specialists",0,NA
"Broad","27-3040","27-0000","27-3000","27-3040",NA,"Writers and Editors",0,NA
"Detailed","27-3041","27-0000","27-3000","27-3040","27-3041","Editors",0,NA
"Detailed","27-3042","27-0000","27-3000","27-3040","27-3042","Technical Writers",0,NA
"Detailed","27-3043","27-0000","27-3000","27-3040","27-3043","Writers and Authors",0,NA
"Broad","27-3090","27-0000","27-3000","27-3090",NA,"Miscellaneous Media and Communication Workers",0,NA
"Detailed","27-3091","27-0000","27-3000","27-3090","27-3091","Interpreters and Translators",0,NA
"Detailed","27-3092","27-0000","27-3000","27-3090","27-3092","Court Reporters and Simultaneous Captioners",0,NA
"Detailed","27-3099","27-0000","27-3000","27-3090","27-3099","Media and Communication Workers, All Other",0,NA
"Broad","27-3090","27-0000","27-4000","27-3090",NA,"Media and Communication Equipment Workers",0,NA
"Broad","27-4010","27-0000","27-4000","27-4010",NA,"Broadcast, Sound, and Lighting Technicians",1,NA
"Detailed","27-4011","27-0000","27-4000","27-4010","27-4011","Audio and Video Technicians",1,NA
"Detailed","27-4012","27-0000","27-4000","27-4010","27-4012","Broadcast Technicians",1,NA
"Detailed","27-4014","27-0000","27-4000","27-4010","27-4014","Sound Engineering Technicians",1,NA
"Detailed","27-4015","27-0000","27-4000","27-4010","27-4015","Lighting Technicians",1,NA
"Broad","27-4020","27-0000","27-4000","27-4020",NA,"Photographers",0,NA
"Detailed","27-4021","27-0000","27-4000","27-4020","27-4021","Photographers",0,NA
"Broad","27-4030","27-0000","27-4000","27-4030",NA,"Television, Video, and Film Camera Operators and Editors",1,NA
"Detailed","27-4031","27-0000","27-4000","27-4030","27-4031","Camera Operators, Television, Video, and Film",1,NA
"Detailed","27-4032","27-0000","27-4000","27-4030","27-4032","Film and Video Editors",1,NA
"Broad","27-4090","27-0000","27-4000","27-4090",NA,"Miscellaneous Media and Communication Equipment Workers",0,NA
"Detailed","27-4099","27-0000","27-4000","27-4090","27-4099","Media and Communication Equipment Workers, All Other",0,NA
"Broad","27-4090","29-0000","27-4000","27-4090",NA,"Healthcare Practitioners and Technical Occupations",0,NA
"Broad","27-4090","29-0000","29-1000","27-4090",NA,"Healthcare Diagnosing or Treating Practitioners",0,NA
"Broad","29-1010","29-0000","29-1000","29-1010",NA,"Chiropractors",0,NA
"Detailed","29-1011","29-0000","29-1000","29-1010","29-1011","Chiropractors",0,NA
"Broad","29-1020","29-0000","29-1000","29-1020",NA,"Dentists",1,NA
"Detailed","29-1021","29-0000","29-1000","29-1020","29-1021","Dentists, General",1,NA
"Detailed","29-1022","29-0000","29-1000","29-1020","29-1022","Oral and Maxillofacial Surgeons",1,NA
"Detailed","29-1023","29-0000","29-1000","29-1020","29-1023","Orthodontists",1,NA
"Detailed","29-1024","29-0000","29-1000","29-1020","29-1024","Prosthodontists",1,NA
"Detailed","29-1029","29-0000","29-1000","29-1020","29-1029","Dentists, All Other Specialists",1,NA
"Broad","29-1030","29-0000","29-1000","29-1030",NA,"Dietitians and Nutritionists",1,NA
"Detailed","29-1031","29-0000","29-1000","29-1030","29-1031","Dietitians and Nutritionists",1,NA
"Broad","29-1040","29-0000","29-1000","29-1040",NA,"Optometrists",0,NA
"Detailed","29-1041","29-0000","29-1000","29-1040","29-1041","Optometrists",0,NA
"Broad","29-1050","29-0000","29-1000","29-1050",NA,"Pharmacists",1,NA
"Detailed","29-1051","29-0000","29-1000","29-1050","29-1051","Pharmacists",1,NA
"Broad","29-1070","29-0000","29-1000","29-1070",NA,"Physician Assistants",1,NA
"Detailed","29-1071","29-0000","29-1000","29-1070","29-1071","Physician Assistants",1,NA
"Broad","29-1080","29-0000","29-1000","29-1080",NA,"Podiatrists",0,NA
"Detailed","29-1081","29-0000","29-1000","29-1080","29-1081","Podiatrists",0,NA
"Broad","29-1120","29-0000","29-1000","29-1120",NA,"Therapists",1,NA
"Detailed","29-1122","29-0000","29-1000","29-1120","29-1122","Occupational Therapists",1,NA
"Detailed","29-1123","29-0000","29-1000","29-1120","29-1123","Physical Therapists",1,NA
"Detailed","29-1124","29-0000","29-1000","29-1120","29-1124","Radiation Therapists",1,NA
"Detailed","29-1125","29-0000","29-1000","29-1120","29-1125","Recreational Therapists",1,NA
"Detailed","29-1126","29-0000","29-1000","29-1120","29-1126","Respiratory Therapists",1,NA
"Detailed","29-1127","29-0000","29-1000","29-1120","29-1127","Speech-Language Pathologists",1,NA
"Detailed","29-1128","29-0000","29-1000","29-1120","29-1128","Exercise Physiologists",1,NA
"Detailed","29-1129","29-0000","29-1000","29-1120","29-1129","Therapists, All Other",1,NA
"Broad","29-1130","29-0000","29-1000","29-1130",NA,"Veterinarians",1,NA
"Detailed","29-1131","29-0000","29-1000","29-1130","29-1131","Veterinarians",1,NA
"Broad","29-1140","29-0000","29-1000","29-1140",NA,"Registered Nurses",1,NA
"Detailed","29-1141","29-0000","29-1000","29-1140","29-1141","Registered Nurses",1,NA
"Broad","29-1150","29-0000","29-1000","29-1150",NA,"Nurse Anesthetists",0,NA
"Detailed","29-1151","29-0000","29-1000","29-1150","29-1151","Nurse Anesthetists",0,NA
"Broad","29-1160","29-0000","29-1000","29-1160",NA,"Nurse Midwives",0,NA
"Detailed","29-1161","29-0000","29-1000","29-1160","29-1161","Nurse Midwives",0,NA
"Broad","29-1170","29-0000","29-1000","29-1170",NA,"Nurse Practitioners",1,NA
"Detailed","29-1171","29-0000","29-1000","29-1170","29-1171","Nurse Practitioners",1,NA
"Broad","29-1180","29-0000","29-1000","29-1180",NA,"Audiologists",0,NA
"Detailed","29-1181","29-0000","29-1000","29-1180","29-1181","Audiologists",0,NA
"Broad","29-1210","29-0000","29-1000","29-1210",NA,"Physicians",1,NA
"Detailed","29-1211","29-0000","29-1000","29-1210","29-1211","Anesthesiologists",1,NA
"Detailed","29-1212","29-0000","29-1000","29-1210","29-1212","Cardiologists",1,NA
"Detailed","29-1213","29-0000","29-1000","29-1210","29-1213","Dermatologists",1,NA
"Detailed","29-1214","29-0000","29-1000","29-1210","29-1214","Emergency Medicine Physicians",1,NA
"Detailed","29-1215","29-0000","29-1000","29-1210","29-1215","Family Medicine Physicians",1,NA
"Detailed","29-1216","29-0000","29-1000","29-1210","29-1216","General Internal Medicine Physicians",1,NA
"Detailed","29-1217","29-0000","29-1000","29-1210","29-1217","Neurologists",1,NA
"Detailed","29-1218","29-0000","29-1000","29-1210","29-1218","Obstetricians and Gynecologists",1,NA
"Detailed","29-1221","29-0000","29-1000","29-1210","29-1221","Pediatricians, General",1,NA
"Detailed","29-1222","29-0000","29-1000","29-1210","29-1222","Physicians, Pathologists",1,NA
"Detailed","29-1223","29-0000","29-1000","29-1210","29-1223","Psychiatrists",1,NA
"Detailed","29-1224","29-0000","29-1000","29-1210","29-1224","Radiologists",1,NA
"Detailed","29-1229","29-0000","29-1000","29-1210","29-1229","Physicians, All Other",1,NA
"Broad","29-1240","29-0000","29-1000","29-1240",NA,"Surgeons",0,NA
"Detailed","29-1241","29-0000","29-1000","29-1240","29-1241","Ophthalmologists, Except Pediatric",0,NA
"Detailed","29-1242","29-0000","29-1000","29-1240","29-1242","Orthopedic Surgeons, Except Pediatric",0,NA
"Detailed","29-1243","29-0000","29-1000","29-1240","29-1243","Pediatric Surgeons",0,NA
"Detailed","29-1249","29-0000","29-1000","29-1240","29-1249","Surgeons, All Other",0,NA
"Broad","29-1290","29-0000","29-1000","29-1290",NA,"Miscellaneous Healthcare Diagnosing or Treating Practitioners",0,NA
