"major","minor","broad","detailed","title","notes"
"25-0000","25-1000","25-1070","25-1072","Nursing Instructors and Teachers, Postsecondary",NA
"25-0000","25-1000","25-1080",NA,"Education and Library Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1080","25-1081","Education Teachers, Postsecondary",NA
"25-0000","25-1000","25-1080","25-1082","Library Science Teachers, Postsecondary",NA
"25-0000","25-1000","25-1110",NA,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",NA
"25-0000","25-1000","25-1110","25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary",NA
"25-0000","25-1000","25-1110","25-1112","Law Teachers, Postsecondary",NA
"25-0000","25-1000","25-1110","25-1113","Social Work Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120",NA,"Arts, Communications, History, and Humanities Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1121","Art, Drama, and Music Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1122","Communications Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1123","English Language and Literature Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1124","Foreign Language and Literature Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1125","History Teachers, Postsecondary",NA
"25-0000","25-1000","25-1120","25-1126","Philosophy and Religion Teachers, Postsecondary",NA
"25-0000","25-1000","25-1190",NA,"Miscellaneous Postsecondary Teachers",NA
"25-0000","25-1000","25-1190","25-1192","Family and Consumer Sciences Teachers, Postsecondary",NA
"25-0000","25-1000","25-1190","25-1193","Recreation and Fitness Studies Teachers, Postsecondary",NA
"25-0000","25-1000","25-1190","25-1194","Career/Technical Education Teachers, Postsecondary",NA
"25-0000","25-1000","25-1190","25-1199","Postsecondary Teachers, All Other",NA
"25-0000","25-2000","25-1190",NA,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",NA
"25-0000","25-2000","25-2010",NA,"Preschool and Kindergarten Teachers",NA
"25-0000","25-2000","25-2010","25-2011","Preschool Teachers, Except Special Education",NA
"25-0000","25-2000","25-2010","25-2012","Kindergarten Teachers, Except Special Education",NA
"25-0000","25-2000","25-2020",NA,"Elementary and Middle School Teachers",NA
"25-0000","25-2000","25-2020","25-2021","Elementary School Teachers, Except Special Education",NA
"25-0000","25-2000","25-2020","25-2022","Middle School Teachers, Except Special and Career/Technical Education",NA
"25-0000","25-2000","25-2020","25-2023","Career/Technical Education Teachers, Middle School",NA
"25-0000","25-2000","25-2030",NA,"Secondary School Teachers",NA
"25-0000","25-2000","25-2030","25-2031","Secondary School Teachers, Except Special and Career/Technical Education",NA
"25-0000","25-2000","25-2030","25-2032","Career/Technical Education Teachers, Secondary School",NA
"25-0000","25-2000","25-2050",NA,"Special Education Teachers",NA
"25-0000","25-2000","25-2050","25-2051","Special Education Teachers, Preschool",NA
"25-0000","25-2000","25-2050","25-2055","Special Education Teachers, Kindergarten",NA
"25-0000","25-2000","25-2050","25-2056","Special Education Teachers, Elementary School",NA
"25-0000","25-2000","25-2050","25-2057","Special Education Teachers, Middle School",NA
"25-0000","25-2000","25-2050","25-2058","Special Education Teachers, Secondary School",NA
"25-0000","25-2000","25-2050","25-2059","Special Education Teachers, All Other",NA
"25-0000","25-3000","25-2050",NA,"Other Teachers and Instructors",NA
"25-0000","25-3000","25-3010",NA,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",NA
"25-0000","25-3000","25-3010","25-3011","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",NA
"25-0000","25-3000","25-3020",NA,"Self-Enrichment Teachers",NA
"25-0000","25-3000","25-3020","25-3021","Self-Enrichment Teachers",NA
"25-0000","25-3000","25-3030",NA,"Substitute Teachers, Short-Term",NA
"25-0000","25-3000","25-3030","25-3031","Substitute Teachers, Short-Term",NA
"25-0000","25-3000","25-3040",NA,"Tutors",NA
"25-0000","25-3000","25-3040","25-3041","Tutors",NA
"25-0000","25-3000","25-3090",NA,"Miscellaneous Teachers and Instructors",NA
"25-0000","25-3000","25-3090","25-3099","Teachers and Instructors, All Other",NA
"25-0000","25-4000","25-3090",NA,"Librarians, Curators, and Archivists",NA
"25-0000","25-4000","25-4010",NA,"Archivists, Curators, and Museum Technicians",NA
"25-0000","25-4000","25-4010","25-4011","Archivists",NA
"25-0000","25-4000","25-4010","25-4012","Curators",NA
"25-0000","25-4000","25-4010","25-4013","Museum Technicians and Conservators",NA
"25-0000","25-4000","25-4020",NA,"Librarians and Media Collections Specialists",NA
"25-0000","25-4000","25-4020","25-4022","Librarians and Media Collections Specialists",NA
"25-0000","25-4000","25-4030",NA,"Library Technicians",NA
"25-0000","25-4000","25-4030","25-4031","Library Technicians",NA
"25-0000","25-9000","25-4030",NA,"Other Educational Instruction and Library Occupations",NA
"25-0000","25-9000","25-9020",NA,"Farm and Home Management Educators",NA
"25-0000","25-9000","25-9020","25-9021","Farm and Home Management Educators",NA
"25-0000","25-9000","25-9030",NA,"Instructional Coordinators",NA
"25-0000","25-9000","25-9030","25-9031","Instructional Coordinators",NA
"25-0000","25-9000","25-9040",NA,"Teaching Assistants",NA
"25-0000","25-9000","25-9040","25-9042","Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",NA
"25-0000","25-9000","25-9040","25-9043","Teaching Assistants, Special Education",NA
"25-0000","25-9000","25-9040","25-9044","Teaching Assistants, Postsecondary",NA
"25-0000","25-9000","25-9040","25-9049","Teaching Assistants, All Other",NA
"25-0000","25-9000","25-9090",NA,"Miscellaneous Educational Instruction and Library Workers",NA
"25-0000","25-9000","25-9090","25-9099","Educational Instruction and Library Workers, All Other",NA
"27-0000","25-9000","25-9090",NA,"Arts, Design, Entertainment, Sports, and Media Occupations",NA
"27-0000","27-1000","25-9090",NA,"Art and Design Workers",NA
"27-0000","27-1000","27-1010",NA,"Artists and Related Workers",NA
"27-0000","27-1000","27-1010","27-1011","Art Directors",NA
"27-0000","27-1000","27-1010","27-1012","Craft Artists",NA
"27-0000","27-1000","27-1010","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",NA
"27-0000","27-1000","27-1010","27-1014","Special Effects Artists and Animators",NA
"27-0000","27-1000","27-1010","27-1019","Artists and Related Workers, All Other",NA
"27-0000","27-1000","27-1020",NA,"Designers",NA
"27-0000","27-1000","27-1020","27-1021","Commercial and Industrial Designers",NA
"27-0000","27-1000","27-1020","27-1022","Fashion Designers",NA
"27-0000","27-1000","27-1020","27-1023","Floral Designers",NA
"27-0000","27-1000","27-1020","27-1024","Graphic Designers",NA
"27-0000","27-1000","27-1020","27-1025","Interior Designers",NA
"27-0000","27-1000","27-1020","27-1026","Merchandise Displayers and Window Trimmers",NA
"27-0000","27-1000","27-1020","27-1027","Set and Exhibit Designers",NA
"27-0000","27-1000","27-1020","27-1029","Designers, All Other",NA
"27-0000","27-2000","27-1020",NA,"Entertainers and Performers, Sports and Related Workers",NA
"27-0000","27-2000","27-2010",NA,"Actors, Producers, and Directors",NA
"27-0000","27-2000","27-2010","27-2011","Actors",NA
"27-0000","27-2000","27-2010","27-2012","Producers and Directors",NA
"27-0000","27-2000","27-2020",NA,"Athletes, Coaches, Umpires, and Related Workers",NA
"27-0000","27-2000","27-2020","27-2021","Athletes and Sports Competitors",NA
"27-0000","27-2000","27-2020","27-2022","Coaches and Scouts",NA
"27-0000","27-2000","27-2020","27-2023","Umpires, Referees, and Other Sports Officials",NA
"27-0000","27-2000","27-2030",NA,"Dancers and Choreographers",NA
"27-0000","27-2000","27-2030","27-2031","Dancers",NA
"27-0000","27-2000","27-2030","27-2032","Choreographers",NA
"27-0000","27-2000","27-2040",NA,"Musicians, Singers, and Related Workers",NA
"27-0000","27-2000","27-2040","27-2041","Music Directors and Composers",NA
"27-0000","27-2000","27-2040","27-2042","Musicians and Singers",NA
"27-0000","27-2000","27-2090",NA,"Miscellaneous Entertainers and Performers, Sports and Related Workers",NA
"27-0000","27-2000","27-2090","27-2091","Disc Jockeys, Except Radio",NA
"27-0000","27-2000","27-2090","27-2099","Entertainers and Performers, Sports and Related Workers, All Other",NA
"27-0000","27-3000","27-2090",NA,"Media and Communication Workers",NA
"27-0000","27-3000","27-3010",NA,"Broadcast Announcers and Radio Disc Jockeys",NA
"27-0000","27-3000","27-3010","27-3011","Broadcast Announcers and Radio Disc Jockeys",NA
"27-0000","27-3000","27-3020",NA,"News Analysts, Reporters and Journalists",NA
"27-0000","27-3000","27-3020","27-3023","News Analysts, Reporters, and Journalists",NA
"27-0000","27-3000","27-3030",NA,"Public Relations Specialists",NA
"27-0000","27-3000","27-3030","27-3031","Public Relations Specialists",NA
"27-0000","27-3000","27-3040",NA,"Writers and Editors",NA
"27-0000","27-3000","27-3040","27-3041","Editors",NA
"27-0000","27-3000","27-3040","27-3042","Technical Writers",NA
"27-0000","27-3000","27-3040","27-3043","Writers and Authors",NA
"27-0000","27-3000","27-3090",NA,"Miscellaneous Media and Communication Workers",NA
"27-0000","27-3000","27-3090","27-3091","Interpreters and Translators",NA
"27-0000","27-3000","27-3090","27-3092","Court Reporters and Simultaneous Captioners",NA
"27-0000","27-3000","27-3090","27-3099","Media and Communication Workers, All Other",NA
"27-0000","27-4000","27-3090",NA,"Media and Communication Equipment Workers",NA
"27-0000","27-4000","27-4010",NA,"Broadcast, Sound, and Lighting Technicians",NA
"27-0000","27-4000","27-4010","27-4011","Audio and Video Technicians",NA
"27-0000","27-4000","27-4010","27-4012","Broadcast Technicians",NA
"27-0000","27-4000","27-4010","27-4014","Sound Engineering Technicians",NA
"27-0000","27-4000","27-4010","27-4015","Lighting Technicians",NA
"27-0000","27-4000","27-4020",NA,"Photographers",NA
"27-0000","27-4000","27-4020","27-4021","Photographers",NA
"27-0000","27-4000","27-4030",NA,"Television, Video, and Film Camera Operators and Editors",NA
"27-0000","27-4000","27-4030","27-4031","Camera Operators, Television, Video, and Film",NA
"27-0000","27-4000","27-4030","27-4032","Film and Video Editors",NA
"27-0000","27-4000","27-4090",NA,"Miscellaneous Media and Communication Equipment Workers",NA
"27-0000","27-4000","27-4090","27-4099","Media and Communication Equipment Workers, All Other",NA
"29-0000","27-4000","27-4090",NA,"Healthcare Practitioners and Technical Occupations",NA
"29-0000","29-1000","27-4090",NA,"Healthcare Diagnosing or Treating Practitioners",NA
"29-0000","29-1000","29-1010",NA,"Chiropractors",NA
"29-0000","29-1000","29-1010","29-1011","Chiropractors",NA
"29-0000","29-1000","29-1020",NA,"Dentists",NA
"29-0000","29-1000","29-1020","29-1021","Dentists, General",NA
"29-0000","29-1000","29-1020","29-1022","Oral and Maxillofacial Surgeons",NA
"29-0000","29-1000","29-1020","29-1023","Orthodontists",NA
"29-0000","29-1000","29-1020","29-1024","Prosthodontists",NA
"29-0000","29-1000","29-1020","29-1029","Dentists, All Other Specialists",NA
"29-0000","29-1000","29-1030",NA,"Dietitians and Nutritionists",NA
"29-0000","29-1000","29-1030","29-1031","Dietitians and Nutritionists",NA
"29-0000","29-1000","29-1040",NA,"Optometrists",NA
"29-0000","29-1000","29-1040","29-1041","Optometrists",NA
"29-0000","29-1000","29-1050",NA,"Pharmacists",NA
"29-0000","29-1000","29-1050","29-1051","Pharmacists",NA
"29-0000","29-1000","29-1070",NA,"Physician Assistants",NA
"29-0000","29-1000","29-1070","29-1071","Physician Assistants",NA
"29-0000","29-1000","29-1080",NA,"Podiatrists",NA
"29-0000","29-1000","29-1080","29-1081","Podiatrists",NA
"29-0000","29-1000","29-1120",NA,"Therapists",NA
"29-0000","29-1000","29-1120","29-1122","Occupational Therapists",NA
"29-0000","29-1000","29-1120","29-1123","Physical Therapists",NA
"29-0000","29-1000","29-1120","29-1124","Radiation Therapists",NA
"29-0000","29-1000","29-1120","29-1125","Recreational Therapists",NA
"29-0000","29-1000","29-1120","29-1126","Respiratory Therapists",NA
"29-0000","29-1000","29-1120","29-1127","Speech-Language Pathologists",NA
"29-0000","29-1000","29-1120","29-1128","Exercise Physiologists",NA
"29-0000","29-1000","29-1120","29-1129","Therapists, All Other",NA
"29-0000","29-1000","29-1130",NA,"Veterinarians",NA
"29-0000","29-1000","29-1130","29-1131","Veterinarians",NA
"29-0000","29-1000","29-1140",NA,"Registered Nurses",NA
"29-0000","29-1000","29-1140","29-1141","Registered Nurses",NA
"29-0000","29-1000","29-1150",NA,"Nurse Anesthetists",NA
"29-0000","29-1000","29-1150","29-1151","Nurse Anesthetists",NA
"29-0000","29-1000","29-1160",NA,"Nurse Midwives",NA
"29-0000","29-1000","29-1160","29-1161","Nurse Midwives",NA
"29-0000","29-1000","29-1170",NA,"Nurse Practitioners",NA
"29-0000","29-1000","29-1170","29-1171","Nurse Practitioners",NA
"29-0000","29-1000","29-1180",NA,"Audiologists",NA
"29-0000","29-1000","29-1180","29-1181","Audiologists",NA
"29-0000","29-1000","29-1210",NA,"Physicians",NA
"29-0000","29-1000","29-1210","29-1211","Anesthesiologists",NA
"29-0000","29-1000","29-1210","29-1212","Cardiologists",NA
"29-0000","29-1000","29-1210","29-1213","Dermatologists",NA
"29-0000","29-1000","29-1210","29-1214","Emergency Medicine Physicians",NA
"29-0000","29-1000","29-1210","29-1215","Family Medicine Physicians",NA
"29-0000","29-1000","29-1210","29-1216","General Internal Medicine Physicians",NA
"29-0000","29-1000","29-1210","29-1217","Neurologists",NA
"29-0000","29-1000","29-1210","29-1218","Obstetricians and Gynecologists",NA
"29-0000","29-1000","29-1210","29-1221","Pediatricians, General",NA
"29-0000","29-1000","29-1210","29-1222","Physicians, Pathologists",NA
"29-0000","29-1000","29-1210","29-1223","Psychiatrists",NA
"29-0000","29-1000","29-1210","29-1224","Radiologists",NA
"29-0000","29-1000","29-1210","29-1229","Physicians, All Other",NA
"29-0000","29-1000","29-1240",NA,"Surgeons",NA
"29-0000","29-1000","29-1240","29-1241","Ophthalmologists, Except Pediatric",NA
"29-0000","29-1000","29-1240","29-1242","Orthopedic Surgeons, Except Pediatric",NA
"29-0000","29-1000","29-1240","29-1243","Pediatric Surgeons",NA
"29-0000","29-1000","29-1240","29-1249","Surgeons, All Other",NA
"29-0000","29-1000","29-1290",NA,"Miscellaneous Healthcare Diagnosing or Treating Practitioners",NA
"29-0000","29-1000","29-1290","29-1291","Acupuncturists",NA
"29-0000","29-1000","29-1290","29-1292","Dental Hygienists",NA
"29-0000","29-1000","29-1290","29-1299","Healthcare Diagnosing or Treating Practitioners, All Other",NA
"29-0000","29-2000","29-1290",NA,"Health Technologists and Technicians",NA
"29-0000","29-2000","29-2010",NA,"Clinical Laboratory Technologists and Technicians",NA
"29-0000","29-2000","29-2010","29-2011","Medical and Clinical Laboratory Technologists",NA
"29-0000","29-2000","29-2010","29-2012","Medical and Clinical Laboratory Technicians",NA
"29-0000","29-2000","29-2030",NA,"Diagnostic Related Technologists and Technicians",NA
"29-0000","29-2000","29-2030","29-2031","Cardiovascular Technologists and Technicians",NA
"29-0000","29-2000","29-2030","29-2032","Diagnostic Medical Sonographers",NA
"29-0000","29-2000","29-2030","29-2033","Nuclear Medicine Technologists",NA
"29-0000","29-2000","29-2030","29-2034","Radiologic Technologists and Technicians",NA
"29-0000","29-2000","29-2030","29-2035","Magnetic Resonance Imaging Technologists",NA
"29-0000","29-2000","29-2030","29-2036","Medical Dosimetrists",NA
"29-0000","29-2000","29-2040",NA,"Emergency Medical Technicians and Paramedics",NA
"29-0000","29-2000","29-2040","29-2042","Emergency Medical Technicians",NA
"29-0000","29-2000","29-2040","29-2043","Paramedics",NA
"29-0000","29-2000","29-2050",NA,"Health Practitioner Support Technologists and Technicians",NA
"29-0000","29-2000","29-2050","29-2051","Dietetic Technicians",NA
"29-0000","29-2000","29-2050","29-2052","Pharmacy Technicians",NA
"29-0000","29-2000","29-2050","29-2053","Psychiatric Technicians",NA
"29-0000","29-2000","29-2050","29-2055","Surgical Technologists",NA
"29-0000","29-2000","29-2050","29-2056","Veterinary Technologists and Technicians",NA
"29-0000","29-2000","29-2050","29-2057","Ophthalmic Medical Technicians",NA
"29-0000","29-2000","29-2060",NA,"Licensed Practical and Licensed Vocational Nurses",NA
"29-0000","29-2000","29-2060","29-2061","Licensed Practical and Licensed Vocational Nurses",NA
"29-0000","29-2000","29-2070",NA,"Medical Records Specialists",NA
"29-0000","29-2000","29-2070","29-2072","Medical Records Specialists",NA
"29-0000","29-2000","29-2080",NA,"Opticians, Dispensing",NA
"29-0000","29-2000","29-2080","29-2081","Opticians, Dispensing",NA
"29-0000","29-2000","29-2090",NA,"Miscellaneous Health Technologists and Technicians",NA
"29-0000","29-2000","29-2090","29-2091","Orthotists and Prosthetists",NA
"29-0000","29-2000","29-2090","29-2092","Hearing Aid Specialists",NA
"29-0000","29-2000","29-2090","29-2099","Health Technologists and Technicians, All Other",NA
"29-0000","29-9000","29-2090",NA,"Other Healthcare Practitioners and Technical Occupations",NA
"29-0000","29-9000","29-9020",NA,"Health Information Technologists and Medical Registrars",NA
"29-0000","29-9000","29-9020","29-9021","Health Information Technologists and Medical Registrars",NA
"29-0000","29-9000","29-9090",NA,"Miscellaneous Health Practitioners and Technical Workers",NA
"29-0000","29-9000","29-9090","29-9091","Athletic Trainers",NA
"29-0000","29-9000","29-9090","29-9092","Genetic Counselors",NA
"29-0000","29-9000","29-9090","29-9093","Surgical Assistants",NA
"29-0000","29-9000","29-9090","29-9099","Healthcare Practitioners and Technical Workers, All Other",NA
"31-0000","29-9000","29-9090",NA,"Healthcare Support Occupations",NA
"31-0000","31-1100","29-9090",NA,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",NA
"31-0000","31-1100","31-1120",NA,"Home Health and Personal Care Aides",NA
"31-0000","31-1100","31-1120","31-1121","Home Health Aides",NA
"31-0000","31-1100","31-1120","31-1122","Personal Care Aides",NA
"31-0000","31-1100","31-1130",NA,"Nursing Assistants, Orderlies, and Psychiatric Aides",NA
"31-0000","31-1100","31-1130","31-1131","Nursing Assistants",NA
"31-0000","31-1100","31-1130","31-1132","Orderlies",NA
"31-0000","31-1100","31-1130","31-1133","Psychiatric Aides",NA
"31-0000","31-2000","31-1130",NA,"Occupational Therapy and Physical Therapist Assistants and Aides",NA
"31-0000","31-2000","31-2010",NA,"Occupational Therapy Assistants and Aides",NA
"31-0000","31-2000","31-2010","31-2011","Occupational Therapy Assistants",NA
"31-0000","31-2000","31-2010","31-2012","Occupational Therapy Aides",NA
"31-0000","31-2000","31-2020",NA,"Physical Therapist Assistants and Aides",NA
"31-0000","31-2000","31-2020","31-2021","Physical Therapist Assistants",NA
"31-0000","31-2000","31-2020","31-2022","Physical Therapist Aides",NA
"31-0000","31-9000","31-2020",NA,"Other Healthcare Support Occupations",NA
"31-0000","31-9000","31-9010",NA,"Massage Therapists",NA
"31-0000","31-9000","31-9010","31-9011","Massage Therapists",NA
"31-0000","31-9000","31-9090",NA,"Miscellaneous Healthcare Support Occupations",NA
"31-0000","31-9000","31-9090","31-9091","Dental Assistants",NA
"31-0000","31-9000","31-9090","31-9092","Medical Assistants",NA
"31-0000","31-9000","31-9090","31-9093","Medical Equipment Preparers",NA
"31-0000","31-9000","31-9090","31-9094","Medical Transcriptionists",NA
"31-0000","31-9000","31-9090","31-9095","Pharmacy Aides",NA
"31-0000","31-9000","31-9090","31-9096","Veterinary Assistants and Laboratory Animal Caretakers",NA
"31-0000","31-9000","31-9090","31-9097","Phlebotomists",NA
"31-0000","31-9000","31-9090","31-9099","Healthcare Support Workers, All Other",NA
"33-0000","31-9000","31-9090",NA,"Protective Service Occupations",NA
"33-0000","33-1000","31-9090",NA,"Supervisors of Protective Service Workers",NA
"33-0000","33-1000","33-1010",NA,"First-Line Supervisors of Law Enforcement Workers",NA
"33-0000","33-1000","33-1010","33-1011","First-Line Supervisors of Correctional Officers",NA
"33-0000","33-1000","33-1010","33-1012","First-Line Supervisors of Police and Detectives",NA
"33-0000","33-1000","33-1020",NA,"First-Line Supervisors of Firefighting and Prevention Workers",NA
"33-0000","33-1000","33-1020","33-1021","First-Line Supervisors of Firefighting and Prevention Workers",NA
"33-0000","33-1000","33-1090",NA,"Miscellaneous First-Line Supervisors, Protective Service Workers",NA
"33-0000","33-1000","33-1090","33-1091","First-Line Supervisors of Security Workers",NA
"33-0000","33-1000","33-1090","33-1099","First-Line Supervisors of Protective Service Workers, All Other",NA
"33-0000","33-2000","33-1090",NA,"Firefighting and Prevention Workers",NA
"33-0000","33-2000","33-2010",NA,"Firefighters",NA
"33-0000","33-2000","33-2010","33-2011","Firefighters",NA
"33-0000","33-2000","33-2020",NA,"Fire Inspectors",NA
"33-0000","33-2000","33-2020","33-2021","Fire Inspectors and Investigators",NA
"33-0000","33-2000","33-2020","33-2022","Forest Fire Inspectors and Prevention Specialists",NA
"33-0000","33-3000","33-2020",NA,"Law Enforcement Workers",NA
"33-0000","33-3000","33-3010",NA,"Bailiffs, Correctional Officers, and Jailers",NA
"33-0000","33-3000","33-3010","33-3011","Bailiffs",NA
"33-0000","33-3000","33-3010","33-3012","Correctional Officers and Jailers",NA
"33-0000","33-3000","33-3020",NA,"Detectives and Criminal Investigators",NA
"33-0000","33-3000","33-3020","33-3021","Detectives and Criminal Investigators",NA
"33-0000","33-3000","33-3030",NA,"Fish and Game Wardens",NA
"33-0000","33-3000","33-3030","33-3031","Fish and Game Wardens",NA
"33-0000","33-3000","33-3040",NA,"Parking Enforcement Workers",NA
"33-0000","33-3000","33-3040","33-3041","Parking Enforcement Workers",NA
"33-0000","33-3000","33-3050",NA,"Police Officers",NA
"33-0000","33-3000","33-3050","33-3051","Police and Sheriff’s Patrol Officers",NA
"33-0000","33-3000","33-3050","33-3052","Transit and Railroad Police",NA
"33-0000","33-9000","33-3050",NA,"Other Protective Service Workers",NA
"33-0000","33-9000","33-9010",NA,"Animal Control Workers",NA
"33-0000","33-9000","33-9010","33-9011","Animal Control Workers",NA
"33-0000","33-9000","33-9020",NA,"Private Detectives and Investigators",NA
"33-0000","33-9000","33-9020","33-9021","Private Detectives and Investigators",NA
"33-0000","33-9000","33-9030",NA,"Security Guards and Gambling Surveillance Officers",NA
"33-0000","33-9000","33-9030","33-9031","Gambling Surveillance Officers and Gambling Investigators",NA
"33-0000","33-9000","33-9030","33-9032","Security Guards",NA
"33-0000","33-9000","33-9090",NA,"Miscellaneous Protective Service Workers",NA
"33-0000","33-9000","33-9090","33-9091","Crossing Guards and Flaggers",NA
"33-0000","33-9000","33-9090","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",NA
"33-0000","33-9000","33-9090","33-9093","Transportation Security Screeners",NA
"33-0000","33-9000","33-9090","33-9094","School Bus Monitors",NA
"33-0000","33-9000","33-9090","33-9099","Protective Service Workers, All Other",NA
"35-0000","33-9000","33-9090",NA,"Food Preparation and Serving Related Occupations",NA
"35-0000","35-1000","33-9090",NA,"Supervisors of Food Preparation and Serving Workers",NA
"35-0000","35-1000","35-1010",NA,"Supervisors of Food Preparation and Serving Workers",NA
"35-0000","35-1000","35-1010","35-1011","Chefs and Head Cooks",NA
"35-0000","35-1000","35-1010","35-1012","First-Line Supervisors of Food Preparation and Serving Workers",NA
"35-0000","35-2000","35-1010",NA,"Cooks and Food Preparation Workers",NA
"35-0000","35-2000","35-2010",NA,"Cooks",NA
"35-0000","35-2000","35-2010","35-2011","Cooks, Fast Food",NA
"35-0000","35-2000","35-2010","35-2012","Cooks, Institution and Cafeteria",NA
"35-0000","35-2000","35-2010","35-2013","Cooks, Private Household",NA
"35-0000","35-2000","35-2010","35-2014","Cooks, Restaurant",NA
"35-0000","35-2000","35-2010","35-2015","Cooks, Short Order",NA
"35-0000","35-2000","35-2010","35-2019","Cooks, All Other",NA
"35-0000","35-2000","35-2020",NA,"Food Preparation Workers",NA
"35-0000","35-2000","35-2020","35-2021","Food Preparation Workers",NA
"35-0000","35-3000","35-2020",NA,"Food and Beverage Serving Workers",NA
"35-0000","35-3000","35-3010",NA,"Bartenders",NA
"35-0000","35-3000","35-3010","35-3011","Bartenders",NA
"35-0000","35-3000","35-3020",NA,"Fast Food and Counter Workers",NA
"35-0000","35-3000","35-3020","35-3023","Fast Food and Counter Workers",NA
"35-0000","35-3000","35-3030",NA,"Waiters and Waitresses",NA
"35-0000","35-3000","35-3030","35-3031","Waiters and Waitresses",NA
"35-0000","35-3000","35-3040",NA,"Food Servers, Nonrestaurant",NA
"35-0000","35-3000","35-3040","35-3041","Food Servers, Nonrestaurant",NA
"35-0000","35-9000","35-3040",NA,"Other Food Preparation and Serving Related Workers",NA
"35-0000","35-9000","35-9010",NA,"Dining Room and Cafeteria Attendants and Bartender Helpers",NA
"35-0000","35-9000","35-9010","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers",NA
"35-0000","35-9000","35-9020",NA,"Dishwashers",NA
"35-0000","35-9000","35-9020","35-9021","Dishwashers",NA
"35-0000","35-9000","35-9030",NA,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",NA
"35-0000","35-9000","35-9030","35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",NA
"35-0000","35-9000","35-9090",NA,"Miscellaneous Food Preparation and Serving Related Workers",NA
"35-0000","35-9000","35-9090","35-9099","Food Preparation and Serving Related Workers, All Other",NA
"37-0000","35-9000","35-9090",NA,"Building and Grounds Cleaning and Maintenance Occupations",NA
"37-0000","37-1000","35-9090",NA,"Supervisors of Building and Grounds Cleaning and Maintenance Workers",NA
"37-0000","37-1000","37-1010",NA,"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers",NA
"37-0000","37-1000","37-1010","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers",NA
"37-0000","37-1000","37-1010","37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",NA
"37-0000","37-2000","37-1010",NA,"Building Cleaning and Pest Control Workers",NA
"37-0000","37-2000","37-2010",NA,"Building Cleaning Workers",NA
"37-0000","37-2000","37-2010","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",NA
"37-0000","37-2000","37-2010","37-2012","Maids and Housekeeping Cleaners",NA
"37-0000","37-2000","37-2010","37-2019","Building Cleaning Workers, All Other",NA
"37-0000","37-2000","37-2020",NA,"Pest Control Workers",NA
"37-0000","37-2000","37-2020","37-2021","Pest Control Workers",NA
"37-0000","37-3000","37-2020",NA,"Grounds Maintenance Workers",NA
"37-0000","37-3000","37-3010",NA,"Grounds Maintenance Workers",NA
"37-0000","37-3000","37-3010","37-3011","Landscaping and Groundskeeping Workers",NA
"37-0000","37-3000","37-3010","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation",NA
"37-0000","37-3000","37-3010","37-3013","Tree Trimmers and Pruners",NA
"37-0000","37-3000","37-3010","37-3019","Grounds Maintenance Workers, All Other",NA
"39-0000","37-3000","37-3010",NA,"Personal Care and Service Occupations",NA
"39-0000","39-1000","37-3010",NA,"Supervisors of Personal Care and Service Workers",NA
"39-0000","39-1000","39-1010",NA,"First-Line Supervisors of Entertainment and Recreation Workers",NA
"39-0000","39-1000","39-1010","39-1013","First-Line Supervisors of Gambling Services Workers",NA
"39-0000","39-1000","39-1010","39-1014","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",NA
"39-0000","39-1000","39-1020",NA,"First-Line Supervisors of Personal Service Workers",NA
"39-0000","39-1000","39-1020","39-1022","First-Line Supervisors of Personal Service Workers",NA
"39-0000","39-2000","39-1020",NA,"Animal Care and Service Workers",NA
"39-0000","39-2000","39-2010",NA,"Animal Trainers",NA
"39-0000","39-2000","39-2010","39-2011","Animal Trainers",NA
"39-0000","39-2000","39-2020",NA,"Animal Caretakers",NA
"39-0000","39-2000","39-2020","39-2021","Animal Caretakers",NA
"39-0000","39-3000","39-2020",NA,"Entertainment Attendants and Related Workers",NA
