"major","minor","broad","detailed","major.title","minor.title","broad.title","detailed.title","notes"
"25-0000","25-1000","25-1070","25-1072","Education, Training, and Library Occupations","Postsecondary Teachers","Health Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",NA
"25-0000","25-1000","25-1080",NA,"Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary",NA,NA
"25-0000","25-1000","25-1080","25-1081","Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Education Teachers, Postsecondary",NA
"25-0000","25-1000","25-1080","25-1082","Education, Training, and Library Occupations","Postsecondary Teachers","Education and Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",NA
"25-0000","25-1000",NA,NA,"Education, Training, and Library Occupations","Law, Criminal Justice, and Social Work Teachers, Postsecondary",NA,NA,NA
"25-0000","25-1000",NA,"25-1111","Education, Training, and Library Occupations","Criminal Justice and Law Enforcement Teachers, Postsecondary",NA,"Criminal Justice and Law Enforcement Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1112","Education, Training, and Library Occupations","Law Teachers, Postsecondary",NA,"Law Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1113","Education, Training, and Library Occupations","Social Work Teachers, Postsecondary",NA,"Social Work Teachers, Postsecondary",NA
"25-0000","25-1000",NA,NA,"Education, Training, and Library Occupations","Arts, Communications, and Humanities Teachers, Postsecondary",NA,NA,NA
"25-0000","25-1000",NA,"25-1121","Education, Training, and Library Occupations","Art, Drama, and Music Teachers, Postsecondary",NA,"Art, Drama, and Music Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1122","Education, Training, and Library Occupations","Communications Teachers, Postsecondary",NA,"Communications Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1123","Education, Training, and Library Occupations","English Language and Literature Teachers, Postsecondary",NA,"English Language and Literature Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1124","Education, Training, and Library Occupations","Foreign Language and Literature Teachers, Postsecondary",NA,"Foreign Language and Literature Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1125","Education, Training, and Library Occupations","History Teachers, Postsecondary",NA,"History Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1126","Education, Training, and Library Occupations","Philosophy and Religion Teachers, Postsecondary",NA,"Philosophy and Religion Teachers, Postsecondary",NA
"25-0000","25-1000",NA,NA,"Education, Training, and Library Occupations","Miscellaneous Postsecondary Teachers",NA,NA,NA
"25-0000","25-1000",NA,"25-1191","Education, Training, and Library Occupations","Graduate Teaching Assistants",NA,"Graduate Teaching Assistants",NA
"25-0000","25-1000",NA,"25-1192","Education, Training, and Library Occupations","Home Economics Teachers, Postsecondary",NA,"Home Economics Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1193","Education, Training, and Library Occupations","Recreation and Fitness Studies Teachers, Postsecondary",NA,"Recreation and Fitness Studies Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1194","Education, Training, and Library Occupations","Vocational Education Teachers, Postsecondary",NA,"Vocational Education Teachers, Postsecondary",NA
"25-0000","25-1000",NA,"25-1199","Education, Training, and Library Occupations","Postsecondary Teachers, All Other",NA,"Postsecondary Teachers, All Other",NA
"25-0000","25-2000",NA,NA,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers",NA,NA,NA
"25-0000","25-2000","25-2010",NA,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Preschool and Kindergarten Teachers",NA,NA
"25-0000","25-2000","25-2010","25-2011","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Preschool and Kindergarten Teachers","Preschool Teachers, Except Special Education",NA
"25-0000","25-2000","25-2010","25-2012","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Preschool and Kindergarten Teachers","Kindergarten Teachers, Except Special Education",NA
"25-0000","25-2000","25-2020",NA,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Elementary and Middle School Teachers",NA,NA
"25-0000","25-2000","25-2020","25-2021","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Elementary and Middle School Teachers","Elementary School Teachers, Except Special Education",NA
"25-0000","25-2000","25-2020","25-2022","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Elementary and Middle School Teachers","Middle School Teachers, Except Special and Career/Technical Education",NA
"25-0000","25-2000","25-2020","25-2023","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Elementary and Middle School Teachers","Career/Technical Education Teachers, Middle School",NA
"25-0000","25-2000","25-2030",NA,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Secondary School Teachers",NA,NA
"25-0000","25-2000","25-2030","25-2031","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Secondary School Teachers","Secondary School Teachers, Except Special and Career/Technical Education",NA
"25-0000","25-2000","25-2030","25-2032","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Secondary School Teachers","Career/Technical Education Teachers, Secondary School",NA
"25-0000","25-2000","25-2050",NA,"Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers",NA,NA
"25-0000","25-2000","25-2050","25-2051","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers","Special Education Teachers, Preschool",NA
"25-0000","25-2000","25-2050","25-2052","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers","Special Education Teachers, Kindergarten and Elementary School",NA
"25-0000","25-2000","25-2050","25-2053","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers","Special Education Teachers, Middle School",NA
"25-0000","25-2000","25-2050","25-2054","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers","Special Education Teachers, Secondary School",NA
"25-0000","25-2000","25-2050","25-2059","Education, Training, and Library Occupations","Preschool, Primary, Secondary, and Special Education School Teachers","Special Education Teachers","Special Education Teachers, All Other",NA
"25-0000","25-3000",NA,NA,"Education, Training, and Library Occupations","Other Teachers and Instructors",NA,NA,NA
"25-0000","25-3000","25-3010",NA,"Education, Training, and Library Occupations","Other Teachers and Instructors","Adult Basic and Secondary Education and Literacy Teachers and Instructors",NA,NA
"25-0000","25-3000","25-3010","25-3011","Education, Training, and Library Occupations","Other Teachers and Instructors","Adult Basic and Secondary Education and Literacy Teachers and Instructors","Adult Basic and Secondary Education and Literacy Teachers and Instructors",NA
"25-0000","25-3000","25-3020",NA,"Education, Training, and Library Occupations","Other Teachers and Instructors","Self-Enrichment Education Teachers",NA,NA
"25-0000","25-3000","25-3020","25-3021","Education, Training, and Library Occupations","Other Teachers and Instructors","Self-Enrichment Education Teachers","Self-Enrichment Education Teachers",NA
"25-0000","25-3000","25-3090",NA,"Education, Training, and Library Occupations","Other Teachers and Instructors","Miscellaneous Teachers and Instructors",NA,NA
"25-0000","25-3000","25-3090","25-3099","Education, Training, and Library Occupations","Other Teachers and Instructors","Miscellaneous Teachers and Instructors","Teachers and Instructors, All Other",NA
"25-0000","25-4000",NA,NA,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists",NA,NA,NA
"25-0000","25-4000","25-4010",NA,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians",NA,NA
"25-0000","25-4000","25-4010","25-4011","Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Archivists",NA
"25-0000","25-4000","25-4010","25-4012","Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Curators",NA
"25-0000","25-4000","25-4010","25-4013","Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Archivists, Curators, and Museum Technicians","Museum Technicians and Conservators",NA
"25-0000","25-4000","25-4020",NA,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Librarians",NA,NA
"25-0000","25-4000","25-4020","25-4021","Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Librarians","Librarians",NA
"25-0000","25-4000","25-4030",NA,"Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Library Technicians",NA,NA
"25-0000","25-4000","25-4030","25-4031","Education, Training, and Library Occupations","Librarians, Curators, and Archivists","Library Technicians","Library Technicians",NA
"25-0000","25-9000",NA,NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations",NA,NA,NA
"25-0000","25-9000","25-9010",NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Audio-Visual and Multimedia Collections Specialists",NA,NA
"25-0000","25-9000","25-9010","25-9011","Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Audio-Visual and Multimedia Collections Specialists","Audio-Visual and Multimedia Collections Specialists",NA
"25-0000","25-9000","25-9020",NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Farm and Home Management Advisors",NA,NA
"25-0000","25-9000","25-9020","25-9021","Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Farm and Home Management Advisors","Farm and Home Management Advisors",NA
"25-0000","25-9000","25-9030",NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Instructional Coordinators",NA,NA
"25-0000","25-9000","25-9030","25-9031","Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Instructional Coordinators","Instructional Coordinators",NA
"25-0000","25-9000","25-9040",NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Teacher Assistants",NA,NA
"25-0000","25-9000","25-9040","25-9041","Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Teacher Assistants","Teacher Assistants",NA
"25-0000","25-9000","25-9090",NA,"Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Miscellaneous Education, Training, and Library Workers",NA,NA
"25-0000","25-9000","25-9090","25-9099","Education, Training, and Library Occupations","Other Education, Training, and Library Occupations","Miscellaneous Education, Training, and Library Workers","Education, Training, and Library Workers, All Other",NA
"27-0000",NA,NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations",NA,NA,NA,NA
"27-0000","27-1000",NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers",NA,NA,NA
"27-0000","27-1000","27-1010",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers",NA,NA
"27-0000","27-1000","27-1010","27-1011","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Art Directors",NA
"27-0000","27-1000","27-1010","27-1012","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Craft Artists",NA
"27-0000","27-1000","27-1010","27-1013","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Fine Artists, Including Painters, Sculptors, and Illustrators",NA
"27-0000","27-1000","27-1010","27-1014","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Multimedia Artists and Animators",NA
"27-0000","27-1000","27-1010","27-1019","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Artists and Related Workers","Artists and Related Workers, All Other",NA
"27-0000","27-1000","27-1020",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers",NA,NA
"27-0000","27-1000","27-1020","27-1021","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Commercial and Industrial Designers",NA
"27-0000","27-1000","27-1020","27-1022","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Fashion Designers",NA
"27-0000","27-1000","27-1020","27-1023","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Floral Designers",NA
"27-0000","27-1000","27-1020","27-1024","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Graphic Designers",NA
"27-0000","27-1000","27-1020","27-1025","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Interior Designers",NA
"27-0000","27-1000","27-1020","27-1026","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Merchandise Displayers and Window Trimmers",NA
"27-0000","27-1000","27-1020","27-1027","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Set and Exhibit Designers",NA
"27-0000","27-1000","27-1020","27-1029","Arts, Design, Entertainment, Sports, and Media Occupations","Art and Design Workers","Designers","Designers, All Other",NA
"27-0000","27-2000",NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",NA,NA,NA
"27-0000","27-2000","27-2010",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",NA,NA
"27-0000","27-2000","27-2010","27-2011","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors","Actors",NA
"27-0000","27-2000","27-2010","27-2012","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors","Producers and Directors",NA
"27-0000","27-2000","27-2020",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers",NA,NA
"27-0000","27-2000","27-2020","27-2021","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Athletes and Sports Competitors",NA
"27-0000","27-2000","27-2020","27-2022","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Coaches and Scouts",NA
"27-0000","27-2000","27-2020","27-2023","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Athletes, Coaches, Umpires, and Related Workers","Umpires, Referees, and Other Sports Officials",NA
"27-0000","27-2000","27-2030",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers",NA,NA
"27-0000","27-2000","27-2030","27-2031","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers","Dancers",NA
"27-0000","27-2000","27-2030","27-2032","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Dancers and Choreographers","Choreographers",NA
"27-0000","27-2000","27-2040",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers",NA,NA
"27-0000","27-2000","27-2040","27-2041","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers","Music Directors and Composers",NA
"27-0000","27-2000","27-2040","27-2042","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Musicians, Singers, and Related Workers","Musicians and Singers",NA
"27-0000","27-2000","27-2090",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Miscellaneous Entertainers and Performers, Sports and Related Workers",NA,NA
"27-0000","27-2000","27-2090","27-2099","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Miscellaneous Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",NA
"27-0000","27-3000",NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers",NA,NA,NA
"27-0000","27-3000","27-3010",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Announcers",NA,NA
"27-0000","27-3000","27-3010","27-3011","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Announcers","Radio and Television Announcers",NA
"27-0000","27-3000","27-3010","27-3012","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Announcers","Public Address System and Other Announcers",NA
"27-0000","27-3000","27-3020",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","News Analysts, Reporters and Correspondents",NA,NA
"27-0000","27-3000","27-3020","27-3021","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","News Analysts, Reporters and Correspondents","Broadcast News Analysts",NA
"27-0000","27-3000","27-3020","27-3022","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","News Analysts, Reporters and Correspondents","Reporters and Correspondents",NA
"27-0000","27-3000","27-3030",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Public Relations Specialists",NA,NA
"27-0000","27-3000","27-3030","27-3031","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Public Relations Specialists","Public Relations Specialists",NA
"27-0000","27-3000","27-3040",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Writers and Editors",NA,NA
"27-0000","27-3000","27-3040","27-3041","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Writers and Editors","Editors",NA
"27-0000","27-3000","27-3040","27-3042","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Writers and Editors","Technical Writers",NA
"27-0000","27-3000","27-3040","27-3043","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Writers and Editors","Writers and Authors",NA
"27-0000","27-3000","27-3090",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Miscellaneous Media and Communication Workers",NA,NA
"27-0000","27-3000","27-3090","27-3091","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Miscellaneous Media and Communication Workers","Interpreters and Translators",NA
"27-0000","27-3000","27-3090","27-3099","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Workers","Miscellaneous Media and Communication Workers","Media and Communication Workers, All Other",NA
"27-0000","27-4000",NA,NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers",NA,NA,NA
"27-0000","27-4000","27-4010",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Broadcast and Sound Engineering Technicians and Radio Operators",NA,NA
"27-0000","27-4000","27-4010","27-4011","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Broadcast and Sound Engineering Technicians and Radio Operators","Audio and Video Equipment Technicians",NA
"27-0000","27-4000","27-4010","27-4012","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Broadcast and Sound Engineering Technicians and Radio Operators","Broadcast Technicians",NA
"27-0000","27-4000","27-4010","27-4013","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Broadcast and Sound Engineering Technicians and Radio Operators","Radio Operators",NA
"27-0000","27-4000","27-4010","27-4014","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Broadcast and Sound Engineering Technicians and Radio Operators","Sound Engineering Technicians",NA
"27-0000","27-4000","27-4020",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Photographers",NA,NA
"27-0000","27-4000","27-4020","27-4021","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Photographers","Photographers",NA
"27-0000","27-4000","27-4030",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Television, Video, and Motion Picture Camera Operators and Editors",NA,NA
"27-0000","27-4000","27-4030","27-4031","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Television, Video, and Motion Picture Camera Operators and Editors","Camera Operators, Television, Video, and Motion Picture",NA
"27-0000","27-4000","27-4030","27-4032","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Television, Video, and Motion Picture Camera Operators and Editors","Film and Video Editors",NA
"27-0000","27-4000","27-4090",NA,"Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Miscellaneous Media and Communication Equipment Workers",NA,NA
"27-0000","27-4000","27-4090","27-4099","Arts, Design, Entertainment, Sports, and Media Occupations","Media and Communication Equipment Workers","Miscellaneous Media and Communication Equipment Workers","Media and Communication Equipment Workers, All Other",NA
"29-0000",NA,NA,NA,"Healthcare Practitioners and Technical Occupations",NA,NA,NA,NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners",NA,NA,NA
"29-0000","29-1000","29-1010",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Chiropractors",NA,NA
"29-0000","29-1000","29-1010","29-1011","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Chiropractors","Chiropractors",NA
"29-0000","29-1000","29-1020",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists",NA,NA
"29-0000","29-1000","29-1020","29-1021","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists","Dentists, General",NA
"29-0000","29-1000","29-1020","29-1022","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists","Oral and Maxillofacial Surgeons",NA
"29-0000","29-1000","29-1020","29-1023","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists","Orthodontists",NA
"29-0000","29-1000","29-1020","29-1024","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists","Prosthodontists",NA
"29-0000","29-1000","29-1020","29-1029","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dentists","Dentists, All Other Specialists",NA
"29-0000","29-1000","29-1030",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dietitians and Nutritionists",NA,NA
"29-0000","29-1000","29-1030","29-1031","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Dietitians and Nutritionists","Dietitians and Nutritionists",NA
"29-0000","29-1000","29-1040",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Optometrists",NA,NA
"29-0000","29-1000","29-1040","29-1041","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Optometrists","Optometrists",NA
"29-0000","29-1000","29-1050",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Pharmacists",NA,NA
"29-0000","29-1000","29-1050","29-1051","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Pharmacists","Pharmacists",NA
"29-0000","29-1000","29-1060",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons",NA,NA
"29-0000","29-1000","29-1060","29-1061","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Anesthesiologists",NA
"29-0000","29-1000","29-1060","29-1062","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Family and General Practitioners",NA
"29-0000","29-1000","29-1060","29-1063","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Internists, General",NA
"29-0000","29-1000","29-1060","29-1064","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Obstetricians and Gynecologists",NA
"29-0000","29-1000","29-1060","29-1065","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Pediatricians, General",NA
"29-0000","29-1000","29-1060","29-1066","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Psychiatrists",NA
"29-0000","29-1000","29-1060","29-1067","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Surgeons",NA
"29-0000","29-1000","29-1060","29-1069","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physicians and Surgeons","Physicians and Surgeons, All Other",NA
"29-0000","29-1000","29-1070",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physician Assistants",NA,NA
"29-0000","29-1000","29-1070","29-1071","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Physician Assistants","Physician Assistants",NA
"29-0000","29-1000","29-1080",NA,"Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Podiatrists",NA,NA
"29-0000","29-1000","29-1080","29-1081","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners","Podiatrists","Podiatrists",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Therapists",NA,NA,NA
"29-0000","29-1000",NA,"29-1122","Healthcare Practitioners and Technical Occupations","Occupational Therapists",NA,"Occupational Therapists",NA
"29-0000","29-1000",NA,"29-1123","Healthcare Practitioners and Technical Occupations","Physical Therapists",NA,"Physical Therapists",NA
"29-0000","29-1000",NA,"29-1124","Healthcare Practitioners and Technical Occupations","Radiation Therapists",NA,"Radiation Therapists",NA
"29-0000","29-1000",NA,"29-1125","Healthcare Practitioners and Technical Occupations","Recreational Therapists",NA,"Recreational Therapists",NA
"29-0000","29-1000",NA,"29-1126","Healthcare Practitioners and Technical Occupations","Respiratory Therapists",NA,"Respiratory Therapists",NA
"29-0000","29-1000",NA,"29-1127","Healthcare Practitioners and Technical Occupations","Speech-Language Pathologists",NA,"Speech-Language Pathologists",NA
"29-0000","29-1000",NA,"29-1128","Healthcare Practitioners and Technical Occupations","Exercise Physiologists",NA,"Exercise Physiologists",NA
"29-0000","29-1000",NA,"29-1129","Healthcare Practitioners and Technical Occupations","Therapists, All Other",NA,"Therapists, All Other",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Veterinarians",NA,NA,NA
"29-0000","29-1000",NA,"29-1131","Healthcare Practitioners and Technical Occupations","Veterinarians",NA,"Veterinarians",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Registered Nurses",NA,NA,NA
"29-0000","29-1000",NA,"29-1141","Healthcare Practitioners and Technical Occupations","Registered Nurses",NA,"Registered Nurses",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Nurse Anesthetists",NA,NA,NA
"29-0000","29-1000",NA,"29-1151","Healthcare Practitioners and Technical Occupations","Nurse Anesthetists",NA,"Nurse Anesthetists",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Nurse Midwives",NA,NA,NA
"29-0000","29-1000",NA,"29-1161","Healthcare Practitioners and Technical Occupations","Nurse Midwives",NA,"Nurse Midwives",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Nurse Practitioners",NA,NA,NA
"29-0000","29-1000",NA,"29-1171","Healthcare Practitioners and Technical Occupations","Nurse Practitioners",NA,"Nurse Practitioners",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Audiologists",NA,NA,NA
"29-0000","29-1000",NA,"29-1181","Healthcare Practitioners and Technical Occupations","Audiologists",NA,"Audiologists",NA
"29-0000","29-1000",NA,NA,"Healthcare Practitioners and Technical Occupations","Miscellaneous Health Diagnosing and Treating Practitioners",NA,NA,NA
"29-0000","29-1000",NA,"29-1199","Healthcare Practitioners and Technical Occupations","Health Diagnosing and Treating Practitioners, All Other",NA,"Health Diagnosing and Treating Practitioners, All Other",NA
"29-0000","29-2000",NA,NA,"Healthcare Practitioners and Technical Occupations","Health Technologists and Technicians",NA,NA,NA
"29-0000","29-2000","29-2010",NA,"Healthcare Practitioners and Technical Occupations","Health Technologists and Technicians","Clinical Laboratory Technologists and Technicians",NA,NA
